,host response time,host response rate,host verifications,latitude,longitude,property type,room type,bathrooms,bedrooms,beds,bed type,amenities,security deposit,cleaning fee,guests included,extra people,minimum nights,maximum nights,availability 365,number of reviews,cancellation policy,features,price,average review,final neighbourhood,years being host
14237,within a few hours,100.0,4,40.437925451378064,-3.653315812610473,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,21,150.0,20.0,2,15,2,1125,282,22,moderate,4,51.0,21.428571428571427,Ciudad Lineal,2
14238,within an hour,100.0,5,40.44143519194291,-3.6486984350618905,Apartment,Entire home/apt,1.0,2.0,2.0,Real Bed,17,183.0,30.0,1,0,29,150,81,22,moderate,4,46.0,21.714285714285715,Ciudad Lineal,4
14246,within a day,100.0,5,40.38047170760431,-3.7442539320946095,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,13,150.0,30.0,1,0,5,1125,216,7,moderate,4,58.0,19.285714285714285,Carabanchel,5
14253,within an hour,100.0,2,40.39118401606798,-3.64659330057953,Apartment,Private room,1.0,1.0,1.0,Real Bed,6,183.0,30.0,1,0,3,21,38,1,moderate,2,12.0,22.571428571428573,Puente de Vallecas,1
14254,within an hour,95.0,1,40.38450578778597,-3.672912864404865,Bed & Breakfast,Private room,1.0,1.0,1.0,Real Bed,15,183.0,30.0,1,0,1,1125,365,0,flexible,3,70.0,21.257599200162016,Puente de Vallecas,2
14256,within a few hours,94.0,3,40.38317503568328,-3.655651211413641,Apartment,Private room,1.0,1.0,2.0,Real Bed,13,183.0,30.0,1,10,3,365,341,64,strict,4,23.0,21.142857142857142,Puente de Vallecas,6
14257,within an hour,97.0,5,40.3803247302413,-3.6658321823991993,Apartment,Private room,1.5,1.0,4.0,Real Bed,8,200.0,30.0,2,12,1,1125,195,9,strict,4,25.0,20.428571428571427,Puente de Vallecas,2
14258,within an hour,100.0,4,40.39094212014604,-3.639963828337226,Apartment,Private room,1.0,1.0,2.0,Real Bed,10,183.0,5.0,2,10,2,1125,159,0,strict,2,22.0,21.257599200162016,Puente de Vallecas,1
14310,within an hour,100.0,4,40.41706268023712,-3.709481787893668,Apartment,Entire home/apt,1.0,0.0,2.0,Real Bed,10,80.0,30.0,2,10,2,20,198,230,strict,7,65.0,22.142857142857142,Centro,5
14311,within an hour,100.0,3,40.41934283917241,-3.709555887980294,Apartment,Entire home/apt,2.0,2.0,3.0,Real Bed,17,183.0,40.0,4,25,4,1125,101,55,flexible,5,100.0,22.428571428571427,Centro,2
